unique_id,fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,abs_wt,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,has_roster,has_absentee,has_absentee2,country,absence_rate,absence_rate2
1_1,1,1,86,125,Other,0,45 or older,0,Oui,,,5 or less,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Other,45 or older,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
1_0,1,0,86,125,Nurse,0,35-44,Oui,Oui,,,5 or less,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
1_2,1,2,86,125,Other,0,,0,0,Congés maladie/maternité,,5 or less,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,2.0,0.0,Other,,,,,,,,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,0.0,Parti récupérer son salaire,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
10_1,10,1,102,117,Nurse,0,45 or older,0,Oui,,,5 or less,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Nurse,45 or older,Primary,After 2000,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
10_0,10,0,102,117,Other,0,Younger than 25,0,Oui,,,5 or less,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,Younger than 25,Secondary,After 2000,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
10_2,10,2,102,117,Nurse,0,45 or older,0,0,En formation,,5 or less,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,2.0,0.0,Nurse,45 or older,,,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,0.0,En formation,,1,1.0,1.0,Senegal-2010,0.33333334,0.33333334
100_1,100,1,99,95,Other,0,25-34,0,Oui,,,5 or less,99.0,81.0,10.0,38.0,95.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,10.524123,99.0,81.0,10.0,38.0,95.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,10.0,36.0,11.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
100_0,100,0,99,95,Nurse,Homme,25-34,Oui,Oui,,,5 or less,99.0,81.0,10.0,38.0,95.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,10.524123,99.0,81.0,10.0,38.0,95.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,10.0,36.0,11.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
101_5,101,5,147,67,Other,0,35-44,0,Oui,,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,5.0,oui,Other,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
101_3,101,3,147,67,Nurse,0,,0,0,12.0,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,3.0,0.0,,,,,,,,,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,0.0,12.0,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
101_1,101,1,147,67,Nurse,Homme,35-44,Oui,Oui,,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,35-44,Post-Secondary,After 2000,5.0,Oui,5.0,Oui,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
101_2,101,2,147,67,Nurse,0,25-34,0,Oui,,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,25-34,Post-Secondary,After 2000,5.0,Oui,5.0,Oui,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
101_4,101,4,147,67,Nurse,0,35-44,0,Oui,,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,4.0,oui,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
101_0,101,0,147,67,Nurse,0,25-34,0,Oui,,,6-10,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,54.752663,147.0,31.0,6.0,21.0,67.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,12.0,50.0,13.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
102_3,102,3,146,70,Nurse,0,45 or older,0,Oui,,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Nurse,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
