country,facility_id,abs_prob,abs_wt,act_a,act_b,admin2,admin3,admin4,admin5,adultscale_a,adultscale_b,airway_a,airway_b,albendazole_a,albendazole_b,amitriptyline_a,amitriptyline_b,amoxicillin1_a,amoxicillin1_b,amoxicillin3_a,amoxicillin3_b,ampicillin_a,ampicillin_b,artesunate_a,artesunate_b,atenolol_a,atenolol_b,autoclave_a,autoclave_b,azithromycin_a,azithromycin_b,bagmask_a,bagmask_b,bcg_vac,benzathine_a,benzathine_b,benzylpenicillin_a,benzylpenicillin_b,calgluc_a,calgluc_b,captopril_a,captopril_b,cefixime_a,cefixime_b,ceftriaxone_a,ceftriaxone_b,childscale_a,childscale_b,ciproflox_a,ciproflox_b,contraceptive_a,contraceptive_b,cotrimoxazole3_a,cotrimoxazole3_b,depo_a,depo_b,diazepam1a_a,diazepam1a_b,diclofenac_a,diclofenac_b,does_vaccines,dpt_vac,dryheat_a,dryheat_b,ethambutol_a,ethambutol_b,faccomputer_a,faccomputer_b,facility_level,facmobile_a,facmobile_b,fansidar_a,fansidar_b,final_wt,folic_a,folic_b,fridge_power,fridge_poweroth,fridge_temp,fridge_temptodate,gentamycin_a,gentamycin_b,glibenclam_a,glibenclam_b,glucometer_a,has_antibiotics,has_anticonvuls,has_autosyringe,has_bednet,has_colontest,has_delivery,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_length,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_resusc,has_sharps,has_tapemeasure,has_vaccarrier,has_weights,hepb_vac,hivtest_a,hypoglycemic_a,hypoglycemic_b,incinerator_a,incinerator_b,incinerator_power,incinerator_works,indcomputer_a,indcomputer_b,indmobile1_a,indmobile1_b,indmobile2_a,indmobile2_b,infantscale_a,infantscale_b,insulin_a,insulin_b,internet_a,internet_b,ipw,irona_a,irona_b,ironfolic_a,ironfolic_b,isoniazid_a,isoniazid_b,magsulf_a,magsulf_b,measles_vac,mebendazole_a,mebendazole_b,methasone_a,methasone_b,metronidazole_a,metronidazole_b,misoprostol_a,misoprostol_b,morphine_a,morphine_b,nacl_a,nacl_b,nifedipine2_a,nifedipine2_b,nonelectric_a,nonelectric_b,num_births,num_outpatient,omeprazole_a,omeprazole_b,ors_a,ors_b,oxytocin_a,oxytocin_b,paracetamol3_a,paracetamol3_b,pentavalent_vac,phone_a,phone_b,pneumococ_vac,polio_vac,publicprivate,pyrazinam_a,pyrazinam_b,radio_a,radio_b,rdt_a,rifampicin_a,rifampicin_b,ruralurban,salbutamol_a,salbutamol_b,sharps_a,sharps_b,sharps_c,sharps_d,sharps_e,sharps_f,sharps_g,sharps_h,sharps_i,sharps_inspected,sharps_j,sharps_joth,sharps_k,sharps_l,sharps_m,sharps_n,simvastatin_a,simvastatin_b,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,tbtest_a,tetanus_vac,thermometer_a,thermometer_b,treat_guidelines,treat_observed,vaccine_store1,vaccine_store2,vign_prob,vign_wt,vitamina_a,vitamina_b,waste_a,waste_b,waste_c,waste_d,waste_e,waste_f,waste_g,waste_guidelines,waste_h,waste_i,waste_inspected,waste_j,waste_joth,waste_k,waste_l,waste_m,waste_n,waste_training,zinctabs_a,zinctabs_b
Madagascar-2016,1,1.0,3.741954,At least one observed (not expired),Form as stated,11,103,103001,103001001,No,,No,,At least one observed (not expired),Form as stated,Never available,,Not available today,,Not available today,,Not available today,,Never available,,Never available,,No,,Never available,,No,,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,Yes (Observed),Yes (Observed),At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Yes,Never available,No,,Never available,,No,,Health Post,No,,Never available,,3.74195408821105,Never available,,Petrol,,34.0,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,No,Yes,Yes,Yes (Observed),Yes,Yes,No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,Yes,No,No,Yes (Observed),Yes,Yes (Observed),1,Never available,No,Never available,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,3.741954,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Never available,,Never available,,Never available,,Never available,,Yes (Observed),Yes (Observed),50 or less,0-500,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,Never available,Yes (Observed),Yes (Observed),Yes,Yes,Yes,,0.5,7.483908,Not available today,,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,2,No,Yes,At least one observed (not expired),Form as stated
Madagascar-2016,10,1.0,3.741954,At least one observed (not expired),Form as stated,11,103,103005,103005010,No,,No,,Not available today,,Not recommended at given facility level,,Not available today,,Not available today,,At least one observed (not expired),Form as stated,Never available,,Not recommended at given facility level,,No,,Never available,,No,,Not available today,Not available today,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),Other,Yes,Never available,No,,Not recommended at given facility level,,No,,Health Post,No,,Never available,,3.7419540882110596,Never available,,Petrol,,49.3,Yes (Observed),At least one observed (not expired),Form as stated,Not recommended at given facility level,,No,Yes,Yes,Yes (Observed),No,No,No,No,1,No,Yes (Observed),Yes,Yes (Observed),No,No,Yes,Yes,Yes,No,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,Not recommended at given facility level,,,,,,No,,No,,Yes (Observed),Yes (Observed),No,,Not recommended at given facility level,,No,,3.741954,Never available,,At least one observed (not expired),Form as stated,Not recommended at given facility level,,Never available,,Not available today,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Other,Never available,,Not recommended at given facility level,,Not available today,,Not recommended at given facility level,,No,,50 or less,0-500,Never available,,Not available today,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,Not recommended at given facility level,,No,,Yes,Not recommended at given facility level,,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,No,No,Not recommended at given facility level,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),Yes (Observed),Yes (Observed),No,,Yes,,1.0,3.741954,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, unprotected area",No,,No,No,2,No,No,Not available today,
Madagascar-2016,100,1.0,5.405242,At least one observed (not expired),Form as stated,11,106,106002,106002100,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,No,,At least one observed (not expired),Form as stated,No,,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),At least one observed (not expired),Form as stated,Never available,,Not available today,,Never available,,Not available today,,At least one observed (not expired),Form as stated,No,,Yes (Observed),Yes (Observed),Never available,,No,,Health Center,No,,Never available,,5.405241966247559,At least one observed (not expired),Form as stated,,,,,At least one observed (not expired),Form as stated,Never available,,Yes,,,,No,No,,,1,No,,Yes,,Yes,No,,,,,,Yes,,1,,No,Never available,,,,No,Yes,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,5.405242,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Not available today,,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,No,,,501-1000,At least one observed (not expired),Form as stated,Not available today,,Never available,,At least one observed (not expired),Form as stated,,No,,,,Private,Never available,,No,,Yes,Never available,,Rural,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,No,No,No waste visible,No,,No,No,No,Yes,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes,Yes,,,0.5,10.810484,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,No,No,No,No waste visible,No,,No,No,2,Yes,No,Never available,
Madagascar-2016,101,1.0,4.890457,At least one observed (not expired),Form as stated,11,106,106003,106003101,Yes (Observed),No,No,,Not available today,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,Never available,,No,,Not available today,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Never available,,Never available,,Yes (Not Observed),Yes (Not Observed),Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Yes,Never available,No,,Never available,,No,,Health Center,No,,Not available today,,4.8904571533203125,Never available,,Electrical grid,,45.0,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,No,Yes,Yes,Yes (Observed),No,No,No,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),No,No,Yes,Yes,Yes,No,Yes (Observed),Yes,Yes (Observed),1,Never available,No,Never available,,,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Not recommended at given facility level,,No,,4.890457,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,At least one observed (not expired),Not available today,,Never available,,At least one observed (not expired),Other,Never available,,Not recommended at given facility level,,Not available today,,At least one observed (not expired),Form as stated,No,,50 or less,0-500,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,No,Never available,,Rural,At least one observed (not expired),Other,No,No,No,No,No,Yes,No,No,No,"Waste visible, unprotected area",No,,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),No,,No,,Yes,,0.5,9.780914,Not available today,,No,No,No,No,No,Yes,No,Yes (Observed),No,No,"Waste visible, unprotected area",No,,No,No,2,No,No,At least one observed (not expired),Form as stated
Madagascar-2016,102,1.0,4.890457,At least one observed (not expired),Form as stated,11,106,106004,106004102,Yes (Observed),Yes (Observed),No,,Not available today,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Not available today,,Never available,,Never available,,No,,Never available,,No,,Not available today,At least one observed (not expired),Form as stated,Not available today,,Not available today,,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),Form as stated,Not available today,,Never available,,Yes,Never available,No,,Never available,,No,,Health Center,No,,Never available,,4.8904571533203125,Never available,,Petrol,,47.1,Yes (Observed),Not available today,,Never available,,No,Yes,Yes,Yes (Observed),No,No,No,No,1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,No,No,Yes (Observed),No,Yes (Observed),1,Never available,No,Never available,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,4.890457,Never available,,Not available today,,Never available,,Never available,,Not available today,Not available today,,Never available,,Not available today,,Never available,,Not recommended at given facility level,,Not available today,,Never available,,No,,Over 50,0-500,Never available,,Not available today,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,No waste visible,No,,No,No,No,No,Never available,,Yes (Observed),No,No,,Yes (Observed),No,No,At least one observed (not expired),Yes (Observed),Yes (Observed),Yes,Yes,Yes,,1.0,4.890457,At least one observed (not expired),Form as stated,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,2,No,No,Not available today,
Madagascar-2016,103,1.0,4.890457,At least one observed (not expired),Form as stated,11,106,106005,106005103,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,Not available today,,No,,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (all expired),Form as stated,At least one observed (all expired),Form as stated,At least one observed (all expired),Form as stated,Not available today,,Never available,,No,,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Not available today,,Yes,Never available,No,,Never available,,No,,Health Post,No,,Never available,,4.8904571533203125,Never available,,Petrol,,39.4,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,No,Yes,Yes,Yes (Observed),No,No,No,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,Yes,No,No,Yes (Observed),Yes,Yes (Observed),1,Never available,No,Never available,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,4.890457,Never available,,Not available today,,Never available,,Not available today,,At least one observed (not expired),Never available,,Not available today,,At least one observed (all expired),Form as stated,Never available,,Never available,,Never available,,Never available,,Yes (Observed),Yes (Observed),50 or less,0-500,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,No waste visible,No,,No,No,No,No,Never available,,Yes (Observed),No,No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),Yes (Observed),Yes (Observed),Yes,Yes,Yes,,1.0,4.890457,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,Yes (Observed),No,No,No waste visible,No,,No,No,2,No,No,At least one observed (all expired),Form as stated
Madagascar-2016,104,1.0,4.890457,Not available today,,11,106,106006,106006104,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,Not available today,,Never available,,Never available,,No,,Never available,,No,,Not available today,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,No,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Other,Yes,Never available,No,,Never available,,No,,Health Center,No,,Never available,,4.8904571533203125,Never available,,Electrical grid,,43.6,Yes (Observed),Not available today,,Never available,,No,Yes,Yes,Yes (Not Observed),No,No,No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,No,No,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,Never available,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,4.890457,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,At least one observed (not expired),Never available,,Never available,,At least one observed (not expired),Other,Never available,,Never available,,Never available,,Never available,,Yes (Observed),Yes (Observed),50 or less,0-500,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Not available today,No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,At least one observed (not expired),Other,No,Yes,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),Yes (Observed),No,Yes,Yes,Yes,,0.6,8.150762,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,2,No,No,At least one observed (not expired),Form as stated
Madagascar-2016,105,1.0,4.890457,At least one observed (not expired),Form as stated,11,106,106007,106007105,No,,Yes (Observed),Yes (Observed),At least one observed (not expired),Form as stated,Never available,,Not available today,,Not available today,,Not available today,,Never available,,Never available,,No,,Never available,,No,,At least one observed (not expired),At least one observed (not expired),Form as stated,Not available today,,Not available today,,Not available today,,Never available,,Never available,,No,,Never available,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Not available today,,Not available today,,Yes,Never available,No,,Never available,,No,,Health Post,No,,Never available,,4.8904571533203125,Never available,,Petrol,,42.4,Yes (Observed),Not available today,,Never available,,No,Yes,Yes,Yes (Observed),No,No,No,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,Yes,Yes,No,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,Never available,,,,,,No,,No,,Yes (Observed),Yes (Observed),No,,Not recommended at given facility level,,No,,4.890457,Never available,,Not available today,,Never available,,Never available,,At least one observed (not expired),Not available today,,Not available today,,Not available today,,Never available,,Not recommended at given facility level,,Not available today,,Never available,,No,,50 or less,0-500,Never available,,Not available today,,Not available today,,Not available today,,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,Not available today,,No,Yes,No,No,No,No,No,No,No,No waste visible,No,,No,No,No,No,Never available,,No,,No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),No,,Yes,Yes,Yes,,1.0,4.890457,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, unprotected area",No,,No,No,2,No,No,Not available today,
Madagascar-2016,106,1.0,4.890457,At least one observed (not expired),Form as stated,11,106,106008,106008106,Yes (Observed),Yes (Observed),No,,Never available,,Never available,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,Never available,,No,,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Not available today,,Never available,,Never available,,No,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,Yes,Never available,Yes (Observed),Yes (Observed),Never available,,No,,Health Center,No,,Never available,,4.8904571533203125,Never available,,Solar panel,,52.2,Yes (Observed),Not available today,,Never available,,No,Yes,No,Yes (Observed),No,No,Yes,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,Never available,No,Never available,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,,No,,4.890457,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Other,Never available,,Never available,,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),Over 50,501-1000,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Other,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Never available,,No,,Yes,Never available,,Rural,Not available today,,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,At least one observed (not expired),Yes (Observed),Yes (Observed),Yes,Yes,Yes,,0.75,6.52061,Never available,,No,Yes,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,,No,No,2,No,No,Never available,
Madagascar-2016,107,1.0,3.0887096,Not available today,,11,106,106009,106009107,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Form as stated,Never available,,Not available today,,Not available today,,Not available today,,Never available,,Never available,,No,,Not available today,,No,,,Not available today,,Not available today,,Not available today,,Not available today,,Never available,,At least one observed (not expired),Form as stated,No,,Not available today,,Never available,,Not available today,,Never available,,Not available today,,Not available today,,No,,No,,Never available,,No,,Health Center,No,,Not available today,,3.088709592819214,Never available,,,,,,Not available today,,Never available,,No,,,,No,No,,,1,No,,Yes,,Yes,No,,,,,,Yes,,1,,No,Never available,,,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,,No,,3.0887096,Not available today,,Not available today,,Never available,,Not available today,,,At least one observed (not expired),Form as stated,Not available today,,Not available today,,Never available,,Never available,,Not available today,,Not available today,,Yes (Observed),Yes (Observed),,0-500,Not available today,,Not available today,,Never available,,Not available today,,,No,,,,Public,Never available,,No,,No,Never available,,Urban,Not available today,,No,No,No,No,No,Yes,No,No,No,No waste visible,No,,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes,No,,,1.0,3.0887096,Not available today,,No,No,No,No,No,Yes,No,No,No,No,No waste visible,No,,No,No,2,No,No,Not available today,
