survey_id,country,unique_id,facility_id,provider_id,diarrhea_diag_acdiar_dehydrtn,diarrhea_diag_acdiar_sevdehydrtn,diarrhea_diag_acdiarrhea,diarrhea_diag_malaria,diarrhea_diag_none,diarrhea_diag_other,diarrhea_educate_appointment,diarrhea_educate_athome,diarrhea_educate_fluids,diarrhea_educate_hygiene,diarrhea_educate_monitoring,diarrhea_educate_specialist,diarrhea_exam_feet_swell,diarrhea_exam_gen_cond,diarrhea_exam_muscles,diarrhea_exam_offer_drink,diarrhea_exam_pallor,diarrhea_exam_skin_pinch,diarrhea_exam_sunkeyes,diarrhea_exam_temp,diarrhea_exam_weight,diarrhea_history_blood,diarrhea_history_breastfed,diarrhea_history_breath,diarrhea_history_consist,diarrhea_history_convulse,diarrhea_history_cough,diarrhea_history_duration,diarrhea_history_fever,diarrhea_history_freq,diarrhea_history_hearing,diarrhea_history_vacc,diarrhea_history_vomiting,diarrhea_refer_facility,diarrhea_test_haemogram,diarrhea_test_malaria,diarrhea_test_ova,diarrhea_test_rotavirus,diarrhea_treat_antibiotics,diarrhea_treat_diarrheal,diarrhea_treat_ivfluids,diarrhea_treat_observe,diarrhea_treat_ors,diarrhea_treat_parasitic,has_vignette,malaria_diag_anemia,malaria_diag_malaria,malaria_diag_malaria_anemia,malaria_diag_meningitis,malaria_diag_none,malaria_diag_other,malaria_educate_act_iron,malaria_educate_iron,malaria_educate_returnanemia,malaria_educate_returnsame,malaria_educate_returnworse,malaria_exam_dehydration,malaria_exam_ears_throat,malaria_exam_feet_swell,malaria_exam_gen_cond,malaria_exam_muscles,malaria_exam_pallor,malaria_exam_rr,malaria_exam_spleen,malaria_exam_stiff_neck,malaria_exam_temp,malaria_exam_weight,malaria_history_appetite,malaria_history_breath,malaria_history_convulse,malaria_history_cough,malaria_history_diarrhea,malaria_history_feverdur,malaria_history_fevertype,malaria_history_hearing,malaria_history_shiver,malaria_history_sputum,malaria_history_sweat,malaria_history_throat,malaria_history_vacc,malaria_history_vomit,malaria_refer_facility,malaria_test_bs,malaria_test_haemogram,malaria_test_hb,malaria_test_lp,malaria_test_rdt,malaria_treat_artemisinin,malaria_treat_convulsant,malaria_treat_iron,malaria_treat_iron_folicacid,malaria_treat_quinine,malaria_treat_sulphadoxine,num_skipped,pid_diag_appendicitis,pid_diag_gonorrhea,pid_diag_infection,pid_diag_none,pid_diag_other,pid_diag_pid,pid_diag_secretion,pid_educate_athome,pid_educate_condoms,pid_educate_contracted,pid_educate_dangers,pid_educate_givecondoms,pid_educate_medication,pid_educate_return_notbetter,pid_educate_treatpartner,pid_exam_abdomen,pid_exam_lymphnodes,pid_exam_redness,pid_exam_temperature,pid_exam_vagina,pid_history_appetite,pid_history_contraceptives,pid_history_fever,pid_history_gen_cond,pid_history_pain,pid_history_period,pid_history_priortreatment,pid_history_secretion,pid_history_sexual,pid_history_sti,pid_test_haemogram,pid_test_hsv,pid_test_urinalysis,pid_treat_amoxycillin,pid_treat_buscopan,pid_treat_ciprofloxacin,pid_treat_cotrimoxazole,pid_treat_erythromycin,pid_treat_metronidazole,pneumonia_diag_asthma,pneumonia_diag_cold,pneumonia_diag_none,pneumonia_diag_other,pneumonia_diag_pneumonia,pneumonia_diag_sevpneu,pneumonia_educate_antibiotics,pneumonia_educate_returnsame,pneumonia_educate_returnworse,pneumonia_exam_auscultate,pneumonia_exam_lowerchest,pneumonia_exam_nasalflare,pneumonia_exam_rr,pneumonia_exam_temp,pneumonia_exam_throat,pneumonia_history_appetit,pneumonia_history_breath,pneumonia_history_chestpain,pneumonia_history_coughdur,pneumonia_history_fever,pneumonia_history_gen_cond,pneumonia_history_spblood,pneumonia_history_sputum,pneumonia_refer_facility,pneumonia_test_bs,pneumonia_test_chest_xray,pneumonia_test_rdt,pneumonia_test_sputum,pneumonia_treat_amoxycillin,pneumonia_treat_antipyretics,pneumonia_treat_cotrimox,pneumonia_treat_dilator,pneumonia_treat_gentamycin,pneumonia_treat_xpen,provider_age,provider_cadre,provider_male,skip_diarrhea,skip_malaria,skip_pid,skip_pneumonia,skip_tb,tb_diag_aids,tb_diag_chbronchitis,tb_diag_diabetes,tb_diag_none,tb_diag_other,tb_diag_pneumonia,tb_diag_tuberculosis,tb_educate_adherence,tb_educate_appointment,tb_educate_diet,tb_educate_easywork,tb_educate_importance,tb_educate_milk,tb_educate_rest,tb_educate_returndanger,tb_educate_ventilation,tb_exam_auscultate,tb_exam_pulse,tb_exam_rr,tb_exam_temp,tb_exam_weight,tb_history_appetite,tb_history_breath,tb_history_chestpain,tb_history_coughdur,tb_history_fever,tb_history_gen_cond,tb_history_hiv,tb_history_night_sweats,tb_history_spblood,tb_history_sputum,tb_history_tb_hh,tb_history_weightloss,tb_refer_facility,tb_test_chest_xray,tb_test_esr_crp,tb_test_haemogramhb,tb_test_hiv,tb_test_malaria,tb_test_sputum,tb_treat_amoxicillin,tb_treat_ctdurdose,tb_treat_xpen,vign_wt,years_working
Senegal-2010_1_91,Senegal-2010,1_91,1,91,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,35-44,Other,Female,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,63.749138,11-20
Senegal-2010_2_91,Senegal-2010,2_91,2,91,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,25-34,Other,Male,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,23.727657,10 or less
Senegal-2010_3_91,Senegal-2010,3_91,3,91,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,45 or older,Other,Male,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,29.90738,More than 20
Senegal-2010_4_91,Senegal-2010,4_91,4,91,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45 or older,Other,Female,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.013012,10 or less
Senegal-2010_5_91,Senegal-2010,5_91,5,91,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,25-34,Other,Female,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,10.400542,
Senegal-2010_7_91,Senegal-2010,7_91,7,91,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,25-34,Nurse,Male,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,33.04464,10 or less
Senegal-2010_8_91,Senegal-2010,8_91,8,91,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,25-34,Other,Female,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,29.367146,10 or less
Senegal-2010_9_91,Senegal-2010,9_91,9,91,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,45 or older,Other,Male,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,33.799633,More than 20
Senegal-2010_10_91,Senegal-2010,10_91,10,91,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Younger than 25,Other,Female,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,15.525735,10 or less
Senegal-2010_12_91,Senegal-2010,12_91,12,91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,45 or older,Other,Female,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,58.846375,11-20
