fac_id,m1saq3,m1saq4,m1saq4a,m1saq6,m1saq7,m1saq11_1c,m1saq11_2c,m1saq12_hr,m1saq12_mn,m1saq13_hr,m1saq13_mn,m1saq15_1c,m1saq15_2c,m1saq16_hr,m1saq16_mn,m1saq17_hr,m1saq17_mn,m1saq18r,m1saq18c,m1sa1q1,m1sa1q2,m0s0q0,m1sbq4,m1sbq8,m1sbq13,m1sbq21,m1sbq24,m1sbq25,m1sbq26,m1sbq27,m1sbq28,m1sbq29,m1sbq30,m1sbq34,m1scq17_a,m1scq17_b,m1scq17_c,m1scq17_d,m1scq17_e,m1scq17_f,m1scq17_g,m1scq17_h,m1scq17_i,m1scq17_j,m1scq17_k,m1scq17_l,m1scq17_m,m1scq17_n,m1scq18,m1scq20_a,m1scq20_b,m1scq20_c,m1scq20_d,m1scq20_e,m1scq20_f,m1scq20_g,m1scq20_h,m1scq20_i,m1scq20_j,m1scq20_k,m1scq20_l,m1scq20_m,m1scq20_n,m1scq21,m1scq22,m1scq23,m1scq24,m1scq25,m1scq26_a,m1scq26_f,m1scq27_a,m1scq27_f,m1scq28_a,m1scq28_f,m1scq29_a,m1scq29_f,m1scq30_a,m1scq30_f,m1scq31_a,m1scq31_f,m1scq32_a,m1scq32_f,m1scq33_a,m1scq33_f,m1sdq1a,m1sdq1b1,m1sdq1b2,m1sdq1c,m1sdq2a,m1sdq2b1,m1sdq2b2,m1sdq2c,m1sdq3a,m1sdq3b1,m1sdq3b2,m1sdq3c,m1sdq4a,m1sdq4b1,m1sdq4b2,m1sdq4c,m1sdq5a,m1sdq5b1,m1sdq5b2,m1sdq5c,m1sdq6a,m1sdq6b1,m1sdq6b2,m1sdq6c,m1sdq7a,m1sdq7b1,m1sdq7b2,m1sdq7c,m1sdq8a,m1sdq8b1,m1sdq8b2,m1sdq8c,m1sdq9a,m1sdq9b1,m1sdq9b2,m1sdq10a,m1sdq10b1,m1sdq10b2,m1sdq11a,m1sdq11b1,m1sdq11b2,m1sdq12a,m1sdq12b1,m1sdq12b2,m1sdq13a,m1sdq13b1,m1sdq13b2,m1seq1a,m1seq1b,m1seq2a,m1seq2b,m1seq3a,m1seq3b,m1seq4a,m1seq4b,m1seq5a,m1seq5b,m1seq6a,m1seq6b,m1seq7a,m1seq7b,m1seq8a,m1seq8b,m1seq9a,m1seq9b,m1seq10a,m1seq10b,m1seq11a,m1seq11b,m1seq12a,m1seq12b,m1seq13a,m1seq13b,m1seq14a,m1seq14b,m1seq15a,m1seq15b,m1seq16a,m1seq16b,m1seq17a,m1seq17b,m1seq18a,m1seq18b,m1seq19a,m1seq19b,m1seq20a,m1seq20b,m1seq21a,m1seq21b,m1seq22a,m1seq22b,m1seq23a,m1seq23b,m1seq24a,m1seq24b,m1seq25a,m1seq25b,m1seq26a,m1seq26b,m1seq27a,m1seq27b,m1seq28a,m1seq28b,m1seq29a,m1seq29b,m1seq30a,m1seq30b,m1seq31a,m1seq31b,m1seq32a,m1seq32b,m1seq33a,m1seq33b,m1seq34a,m1seq34b,m1seq35a,m1seq35b,m1seq36a,m1seq36b,m1seq37a,m1seq37b,m1seq38a,m1seq38b,m1seq39a,m1seq39b,m1seq40a,m1seq40b,m1seq41a,m1seq41b,m1seq42a,m1seq42b,m1seq43a,m1seq43b,m1seq44a,m1seq44b,m1seq45a,m1seq45b,m1seq46a,m1seq46b,m1seq47a,m1seq47b,m1seq48a,m1seq48b,m1seq49a,m1seq49b,m1seq49_a,m1seq49_b,m1seq50,m1seq51,m1seq51a,m1seq52,m1seq52a,m1seq52b,m1seq52c,m1seq53,m1seq53a,m1seq53b,m1seq54,m1seq55,m1seq56,m1seq57,m1seq58,m1seq59,m1seq60,m1seq61,m1seq62,m1seq63,m1seq64,m1seq65,m1seq66,m1seq67,m1seq68,m1seq69,m1seq70,m1seq71,m1seq72,m1seq73,m1seq74
1,1,1,91,1,Rural,703,,8,30,11,0,703,702,12,0,12,30,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,501-1000,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Over 50,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No waste visible,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,No waste visible,"Yes, guideline observed",No,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Never available,,Not available today,,Not available today,,Never available,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,Not available today,,Not recommended at this level,,Never available,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Never available,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,Yes and observed,40.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,Yes but not observed,Yes and observed,Yes and observed,No
2,1,1,161,2,Rural,702,,12,45,16,30,702,703,11,0,11,20,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,0-500,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,50 or less,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Wasted visible not protected,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,Wasted visible not protected,"Yes, guideline observed",No,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,Not available today,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,Yes and observed,41.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed,No
3,1,1,121,3,Rural,703,,12,30,14,0,703,702,12,45,13,20,Questionnaire completed,701,Yes,,Questionnaire finalized,Private,Health Center,0-500,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,50 or less,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No waste visible,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,No waste visible,"Yes, guideline observed",Yes,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,Not available today,,Not recommended at this level,,Not available today,,Not recommended at this level,,Not recommended at this level,,Not available today,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Not recommended at this level,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Not available today,,Never available,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes and observed,40.0,Yes and observed,"Tanesco, Mains",At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,Yes but not observed,Yes and observed,Yes and observed,No
4,1,1,51,4,Rural,703,,8,30,11,30,703,702,13,0,13,20,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,0-500,Yes,Yes,Yes,No,Yes,No,No,Yes,50 or less,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No waste visible,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,No waste visible,"Yes, guideline observed",Yes,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Never available,,Never available,,Not available today,,Never available,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,Never available,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Never available,,Not recommended at this level,,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Not available today,,Yes (at facility),Observed,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,Yes and observed,41.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,No,Yes and observed,Yes and observed,No
5,1,1,111,5,Rural,701,,13,20,15,48,701,702,12,0,12,25,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,0-500,Yes,Yes,Yes,Yes,Yes,No,Yes,No,50 or less,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Wasted visible not protected,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,Wasted visible but protected area,No,No,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),,,No,,,,Yes (observed),Yes (observed),,,No,,,,Yes (observed),Yes (observed),,,No,,,,No,,,,No,,,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Not available today,,Never available,,Never available,,Never available,,Never available,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,No,,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes and observed,43.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Never available,At least one observed (and non-expired),No,Yes and observed,Yes and observed,Yes and observed,Yes and observed,No
7,1,1,11,7,Rural,702,,8,30,11,45,702,701,11,0,11,45,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,0-500,Yes,Yes,Yes,Yes,No,Yes,No,No,Over 50,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Wasted visible not protected,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Wasted visible not protected,"Yes, guideline observed",Yes,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,,Yes and observed,40.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed,No
8,1,1,71,8,Rural,702,,13,0,16,0,702,703,12,0,12,15,Questionnaire completed,701,Yes,,Questionnaire finalized,Private,Health Post,0-500,Yes,Yes,Yes,Yes,Yes,No,No,Yes,50 or less,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Wasted visible not protected,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,Wasted visible not protected,"Yes, guideline observed",Yes,No,,No,,No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Not available today,,Not available today,,Not available today,,Not available today,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,
9,1,1,181,9,Rural,701,,8,10,11,15,701,702,14,28,14,35,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,1001-2000,Yes,Yes,Yes,Yes,Yes,Yes,No,No,50 or less,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Wasted visible but protected area,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,Wasted visible not protected,No,No,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,,Yes (observed),Yes (observed),,,No,,,,No,,,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Not available today,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,No,,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,,Not functioning,,,,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Never available,At least one observed (and non-expired),Yes and observed,Yes and observed,No,Yes and observed,Yes and observed,Yes
10,1,2,53,10,Urban,703,,9,15,13,45,703,702,13,0,14,0,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Center,501-1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Over 50,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No waste visible,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,,Wasted visible but protected area,"Yes, guideline observed",No,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,Yes (observed),Yes (observed),,Yes (observed),Yes (observed),,Yes (observed),Yes (observed),,,,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Not recommended at this level,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not recommended at this level,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes and observed,43.0,Yes and observed,"Tanesco, Mains",At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),Yes and observed,Yes and observed,No,Yes and observed,Yes and observed,No
11,1,2,183,11,Rural,702,,8,0,12,0,702,701,11,30,12,0,Questionnaire completed,701,Yes,,Questionnaire finalized,Public,Health Post,501-1000,Yes,Yes,Yes,No,Yes,Yes,No,Yes,50 or less,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Wasted visible but protected area,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,Wasted visible but protected area,"Yes, guideline observed",Yes,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,Yes (observed),Yes (observed),,,No,,,,No,,,No,,,No,,,Yes (observed),Yes (observed),,,,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Never available,,Never available,,Never available,,Never available,,Not available today,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,Not available today,,Never available,,Not available today,,Never available,,At least one observed (and non-expired),Form Stated,Never available,,Never available,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,Not available today,,Not available today,,Not available today,,Not available today,,At least one observed (and non-expired),Form Stated,Not available today,,At least one observed (and non-expired),Form Stated,Never available,,At least one observed (and non-expired),Form Stated,At least one observed (and non-expired),Form Stated,Yes (at facility),Observed,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,Yes and observed,42.0,Yes and observed,Gas,At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (and non-expired),At least one observed (BUT ALL expired),Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed,No
