fac_id,surveyed,stratum,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac
1,1,5,0.7307692,0.4,84.84211,9.852632,9.852632,9.852632,9.852632,9.852632,4.926316,4.926316,0.1388889,0.1388889,0.1388889,0.1388889,0.1388889,0.2777778,0.2777778,0.1388889,0.2777778,1.3684211
2,1,1,0.21064301,1.0,12.031468,6.015734,6.015734,6.015734,6.015734,6.015734,3.007867,3.007867,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.007867
3,1,1,0.21064301,1.0,14.031694,7.015847,7.015847,7.015847,7.015847,7.015847,3.5079236,3.5079236,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.5079236
4,1,3,0.36619717,1.0,13.378964,5.733842,5.733842,5.733842,5.733842,5.733842,2.866921,2.866921,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.33333334,0.6666667,1.9112806
5,1,3,0.36619717,0.7692308,25.128984,5.496965,5.496965,5.496965,5.496965,5.496965,2.7484825,2.7484825,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.5714286,0.5714286,0.2857143,0.5714286,1.5705615
6,1,1,0.21064301,1.0,47.43677,23.718386,23.718386,23.718386,23.718386,23.718386,11.859193,11.859193,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,11.859193
7,1,1,0.21064301,1.0,20.782742,6.9275804,6.9275804,6.9275804,6.9275804,6.9275804,4.6183867,4.6183867,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,3.4637902
8,1,1,0.21064301,1.0,24.68743,5.143214,5.143214,5.143214,5.143214,5.143214,3.0859287,3.0859287,0.6,0.6,0.6,0.6,0.6,1.0,1.0,0.6,1.0,3.0859287
9,1,2,0.23880596,1.0,206.32622,58.950348,58.950348,58.950348,58.950348,58.950348,29.475174,29.475174,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,29.475174
10,1,2,0.23880596,1.0,26.48187,11.76972,11.76972,11.76972,11.76972,11.76972,5.88486,5.88486,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,2.94243
11,1,1,0.21064301,1.0,24.470867,5.4379706,5.4379706,5.4379706,5.4379706,5.4379706,2.7189853,2.7189853,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,2.7189853
12,1,1,0.21064301,1.0,24.096455,20.080378,20.080378,20.080378,20.080378,20.080378,4.0160756,4.0160756,0.2,0.2,0.2,0.2,0.2,1.0,1.0,0.2,1.0,4.0160756
13,1,1,0.21064301,1.0,23.45953,5.2132287,5.2132287,5.2132287,5.2132287,5.2132287,2.6066144,2.6066144,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,2.6066144
14,1,1,0.21064301,1.0,28.309877,16.177073,16.177073,16.177073,16.177073,16.177073,4.044268,4.044268,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.25,1.0,4.044268
15,1,3,0.36619717,0.7692308,46.79417,7.7990284,7.7990284,7.7990284,7.7990284,7.7990284,3.8995142,3.8995142,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.33333334,0.6666667,2.5996761
16,1,1,0.21064301,1.0,49.604057,11.023124,11.023124,11.023124,11.023124,11.023124,7.348749,7.348749,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,5.511562
17,1,1,0.21064301,1.0,16.671917,10.003149,10.003149,10.003149,10.003149,10.003149,3.3343832,3.3343832,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,1.0,1.0,0.33333334,1.0,3.3343832
18,1,1,0.21064301,1.0,20.27077,10.135385,10.135385,10.135385,10.135385,10.135385,5.0676923,5.0676923,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.33333334,0.6666667,3.3784616
19,1,5,0.7307692,0.47619048,60.210526,10.947369,10.947369,10.947369,10.947369,10.947369,5.4736843,5.4736843,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.25,1.3684211
20,1,2,0.23880596,1.0,1161.4442,625.393,625.393,625.393,625.393,625.393,208.46436,208.46436,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.42857143,0.42857143,0.14285715,0.42857143,89.341866
21,1,2,0.23880596,1.0,89.341866,89.341866,89.341866,89.341866,89.341866,89.341866,89.341866,89.341866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.341866
22,1,4,0.32,1.0,211.58665,141.05777,141.05777,141.05777,141.05777,141.05777,141.05777,141.05777,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,70.528885
23,1,4,0.32,1.0,987.4044,164.5674,164.5674,164.5674,164.5674,164.5674,164.5674,164.5674,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,70.528885
24,1,4,0.32,1.0,493.7022,105.79333,105.79333,105.79333,105.79333,105.79333,70.528885,70.528885,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0,1.0,0.6666667,1.0,70.528885
25,1,2,0.23880596,1.0,357.36746,178.68373,178.68373,178.68373,178.68373,178.68373,89.341866,89.341866,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,89.341866
26,1,2,0.23880596,1.0,268.0256,178.68373,178.68373,178.68373,178.68373,178.68373,89.341866,89.341866,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,89.341866
27,1,4,0.32,1.0,247.03128,123.51563,123.51563,123.51563,123.51563,123.51563,61.757816,61.757816,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.33333334,0.6666667,41.17188
28,1,4,0.32,1.0,352.6444,70.528885,70.528885,70.528885,70.528885,70.528885,70.528885,70.528885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.528885
29,1,4,0.32,0.5882353,864.60944,144.10156,144.10156,144.10156,144.10156,144.10156,72.05078,72.05078,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.5714286,0.5714286,0.2857143,0.5714286,41.17188
30,1,1,0.21064301,1.0,82.12189,54.747925,54.747925,54.747925,54.747925,54.747925,27.373962,27.373962,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,27.373962
31,1,1,0.21064301,1.0,43.80535,17.52214,17.52214,17.52214,17.52214,17.52214,8.76107,8.76107,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,8.76107
